RID,PCardID,TID,SStationID,AStationID,CarrigeID,SeatRow,SeatNo,SStatus
56,110112193008052746,24312,1134,1750,4,2,F,1
57,110112193201260483,7325,3934,3938,3,4,A,1
58,110112194004122676,11919,1592,1542,1,2,A,0
59,110112194507080930,16965,76,13,2,2,C,2
60,110112196407174445,27138,404,404,1,2,A,1
61,110112198604200031,13216,1577,1574,4,1,E,2
62,110112199008060022,20933,34,2035,3,1,F,1
63,110112199404200488,27471,1597,1597,2,2,C,0
64,11011219950121155X,28172,1668,1597,1,4,A,1
65,11011219970301102X,30887,3898,3898,3,3,F,2
66,110113194810303101,25868,1668,457,3,4,E,0
67,110113195704053836,3769,1552,34,2,1,E,1
68,110113196305312356,25856,457,404,4,1,C,2
69,110113196806081007,33496,76,13,3,1,F,0
70,110113201112020051,35774,1568,2125,3,2,A,2
71,110114194702221295,37250,1533,1568,3,3,E,1
72,110114194806141062,2624,1556,1556,4,1,F,2
73,110114194811232639,26978,1681,406,4,3,F,2
74,110114195202010533,30447,1142,1684,4,4,B,2
75,110114195202272656,22208,2052,2986,2,2,C,2
76,110114199510260452,20168,1699,721,1,2,E,1
77,11011519490528310X,20934,1597,2020,4,3,A,2
78,110115195207104594,25629,404,457,1,4,E,1
79,110115196011121768,9660,1615,1653,4,3,E,0
80,110115196703063431,25246,1597,59,3,1,C,2
81,110115201501182057,4149,1659,3978,2,4,E,1
82,110116194502121313,10271,1611,1605,3,2,E,2
83,110116194904192317,10075,1612,1625,4,3,B,0
84,110116195404194847,20273,1668,664,1,4,C,2
85,110116196903063088,15966,1563,1567,3,1,B,1
86,110116198201073635,2815,1609,1555,3,1,F,2
87,11011619880513219X,38895,129,925,2,2,F,0
88,11011619970630398X,1584,1593,1654,3,3,B,0
89,110116199803052238,35919,1721,568,2,2,F,1
90,110116199901233008,10400,1615,1648,3,4,E,2
91,110116200611161048,34541,13,1,3,2,F,1
92,110117193007143357,9900,1612,1615,4,1,F,2
93,110117195004292655,29953,1035,979,1,4,F,2
94,110117195712102162,25003,1597,1668,2,2,E,0
95,110117197308084897,33583,1,1,2,4,C,1
96,110117199310304894,11492,1,1,3,2,F,0
97,110117199409114046,20991,2035,3365,2,4,F,2
98,110117199710113800,8682,1615,2047,3,2,A,0
99,11011720100108033X,38423,32,2060,3,2,E,0
100,110118194001290197,24818,1597,1668,1,4,B,1
101,110118196411151711,3591,1561,2049,1,3,A,1
102,110118200308211455,1595,1646,1646,4,4,C,0
103,110118200707113828,9126,34,1615,1,3,B,1
104,110118201412113833,21187,2035,3365,1,2,A,2
105,110119193009013575,27373,404,404,3,2,E,0
106,110119199302132773,39167,925,1014,1,2,A,1
107,110119201309060549,10338,1605,1612,1,3,F,0
108,110119201602020204,15405,1615,1574,4,4,C,1
109,120101193403014056,14432,1651,1659,4,2,C,0
110,120101196104100898,20007,1146,2374,3,2,F,0
111,12010119621124319X,23180,1151,979,3,4,F,0
112,12010119670218477X,22792,721,664,3,3,C,0
113,120101196809014818,23332,576,595,4,2,B,1
114,120101197104244458,32099,1638,1632,2,4,F,0
115,12010119781113352X,16660,1641,1631,4,2,A,2
116,120102193204082845,4573,1615,2034,2,2,C,1
117,120102193406264903,37237,1562,1568,1,3,F,2
118,120102193607183528,14800,1574,1574,2,2,F,2
119,120102194206154712,9164,1615,1615,2,4,C,0
120,120102194705131822,928,1621,1607,2,3,F,0
121,120102195109042326,36160,1906,1492,3,4,F,2
122,120102195301143071,33614,2068,13,4,3,F,2
123,120102195611181516,3182,1557,1555,1,3,B,2
124,120102195707284245,12337,1577,1574,3,2,F,0
125,120102196705110932,15489,1540,3978,3,3,F,2
126,120103194103272958,26688,467,1668,1,2,B,1
127,120103194608033557,8834,2007,2033,4,1,E,1
128,120103196703142574,22447,1668,926,3,4,A,2
129,120103196710011732,13722,1563,1539,2,4,E,0
130,120103197311083688,20830,196,161,1,1,A,0
131,12010319750521069X,20143,1619,1668,4,1,B,0
132,120103197605312327,33199,13,1,1,4,F,0
133,120103200406111156,10895,1648,1589,3,1,F,1
134,120103200412041457,24854,1684,1623,3,4,C,1
135,120103200508071036,26883,404,457,1,2,C,1
136,120104193306012170,39927,3388,3388,3,3,F,1
137,120104193605263033,17436,404,471,2,4,C,1
138,120104194903084652,1096,1646,1646,2,4,E,1
139,120104196112223061,24886,404,1681,2,3,A,1
140,120104196302044857,38623,1559,383,1,4,C,2
141,120104197007310950,36608,403,1615,4,4,B,2
142,120104199608144117,31960,1638,1584,1,2,E,2
143,12010419970623313X,16289,1615,1552,4,1,E,1
144,120104200307213153,6429,1661,2117,4,3,E,0
145,120105193907162357,25891,1681,457,2,1,B,0
146,120105194308073488,37828,1014,834,1,3,F,2
147,120105194902280404,21831,1568,2140,4,2,F,0
148,12010519620422122X,24683,404,1668,4,3,A,1
149,120105196308231131,5614,34,2020,4,1,B,2
150,120105196701183674,29467,979,822,2,4,B,1
151,120105196704141680,14330,1661,1661,4,3,B,1
152,120105198211241105,18677,447,404,2,3,B,2
153,12010519840227417X,39065,1150,1071,2,3,F,0
154,120105199910200200,2202,1555,1556,1,4,E,1
155,120105201201070837,4069,1659,3934,1,1,E,2
156,120106194310274357,8998,2020,2035,1,4,E,2
157,120106194901313442,2328,1556,1556,4,4,A,2
158,120106196502284153,5936,1597,2120,3,2,B,2
159,120106197111182955,38422,413,32,1,3,E,2
160,120106198301264729,20109,1592,1619,1,2,C,2
161,120106200211011808,27991,1668,1597,4,2,A,1
162,120106201204022845,39397,470,470,4,1,C,2
163,120106201707251009,18392,1684,1681,3,4,E,1
164,120110193811212218,18994,450,404,3,4,A,1
165,120110195611161945,7222,1540,3997,4,2,F,1
166,120110196804113637,15468,1661,3978,4,1,F,2
167,120110196907303265,13773,1597,1555,3,3,B,2
168,120110198508011248,35535,7,32,4,4,E,1
169,120110198709181032,15579,1539,3928,3,1,C,1
170,12011019890828443X,32881,2020,76,1,3,A,0
171,120110201205261228,31468,2067,2035,4,2,F,1
172,120111194903180728,39047,925,1071,3,1,A,0
173,120111198611274536,20262,1668,664,3,2,A,1
174,120111199412091264,17832,1597,1668,3,2,F,2
175,120111201509274972,11337,1615,1638,1,3,F,2
176,120112196904073575,36515,403,1599,1,3,C,2
177,120112197009101765,22343,3016,3015,1,1,F,1
178,120112197705240734,10884,1615,1648,1,3,B,2
179,120112198404270088,17860,1684,457,1,4,B,1
180,120112198907310539,8450,1615,2020,1,2,E,1
181,120112199212163338,27968,1668,1597,4,3,F,0
182,120112200310054253,12683,1574,1577,2,2,C,2
183,120112200812314203,22684,1035,926,2,1,E,0
184,120112201104052219,3333,1556,1556,1,2,E,1
185,120113193404163956,8608,2020,3365,2,3,A,0
186,120113194012212565,36190,1846,1335,1,2,C,0
187,120113194708210795,22609,1169,979,4,4,A,1
188,120113197503154148,22316,2052,2978,1,2,F,1
189,120113197902111233,32637,1134,1151,4,4,B,2
190,120113200010220543,40083,129,129,1,1,E,2
191,12011320001226059X,26760,404,404,4,4,F,0
192,120113201011192577,18683,1684,447,4,2,E,2
193,120114194203084013,3111,1555,1556,2,1,E,2
194,120114196910204351,40353,1126,1150,4,1,E,1
195,120114197112183992,3023,1556,1556,4,4,E,0
196,120114197804280312,22456,838,953,1,3,E,0
197,120114199508173044,17831,1668,384,4,1,C,1
198,120114200809123695,27086,1668,1597,3,4,B,0
199,120114201506243571,16395,1612,1595,4,3,F,2
200,120115194008291654,5598,1574,1561,4,3,B,1
201,120115197104180237,34821,3001,3048,1,4,B,1
202,120115197201261338,27862,1597,1668,2,4,F,2
203,120115197612053154,27110,1597,1597,4,3,E,0
204,120115198907091937,27910,404,404,4,1,C,1
205,120115199707261553,40419,129,129,3,2,B,1
206,120116193407061321,14602,1577,1574,4,3,E,1
207,120116193612161962,1730,1615,1654,3,4,A,1
208,120116193905220188,34155,1597,3325,1,1,A,1
209,120116194211073851,5956,1535,1567,4,3,E,2
210,120116194703173453,17885,1597,384,3,3,E,1
211,120116195402010057,23850,1597,34,2,2,E,0
212,120116195505171873,1466,1646,1646,2,3,C,2
213,120116196602134155,5477,2020,2020,2,1,C,1
214,120116197103261533,32583,3204,3168,2,1,F,0
215,12011619891102133X,22995,634,979,2,3,E,2
216,120117193305220260,10048,1595,1611,3,4,B,0
217,120117194003033122,33841,3860,2010,2,4,C,2
218,120117194503252567,14876,1615,1651,1,4,C,1
219,120117196305280363,40433,129,129,3,4,B,0
220,120117198403024135,23559,2047,34,2,4,E,0
221,120117200312261397,2905,1555,1556,1,3,A,2
222,12011720040224219X,26894,1681,1750,2,2,E,2
223,120117200710184710,27245,404,1668,2,2,C,0
224,120117200907201131,534,1599,1615,3,2,A,1
225,120118194202152622,7802,1561,2020,2,2,E,2
226,120118194605253444,6937,2120,237,3,3,F,2
227,120118195012064378,36774,1683,1749,4,2,E,1
228,120118197902020413,27637,404,1668,2,3,E,0
229,120118199903013521,13538,1533,1563,4,1,B,2
230,120118200503023267,6491,161,161,2,4,E,0
231,120118200503242179,35358,3889,3877,2,4,A,1
232,120118200901132725,3435,1582,1579,4,4,E,0
233,120119195007051165,23214,1718,1750,1,2,E,1
234,120119196006223062,22457,835,3634,3,4,E,1
235,120119199211184051,14661,1661,1661,1,4,E,2
236,120119200107151087,4535,59,2033,4,3,C,2
237,120119201505284701,33945,1597,404,3,1,C,1
238,130102193504202185,9033,2020,2035,4,2,F,0
239,130102194508200042,25416,34,2069,1,4,A,0
240,130102194903274578,40530,1599,1562,2,4,C,0
241,130102195305261026,15220,1597,1592,2,3,C,0
242,130102196506194354,17922,384,471,2,1,C,1
243,130102198812263599,3775,3910,3898,2,4,B,2
244,130102199510220539,23548,2020,34,4,4,A,1
245,13010220070615353X,32103,1590,1638,3,2,A,0
246,130102201206201157,36195,2377,1906,3,4,F,2
247,130104193908114272,14316,1651,1577,3,1,A,1
248,130104196812302774,2190,1556,1556,1,2,F,1
249,130104199209300911,34252,1150,3309,4,2,F,1
250,130104201705314191,36348,3554,2072,1,1,C,0
251,130105193701062643,38878,1037,1150,3,2,B,2
252,130105193703143084,13799,1556,1556,1,2,E,2
253,130105194411103923,15888,1563,1567,1,3,F,2
254,130105195303231295,33605,3365,76,1,1,E,2
255,130105196306161530,13374,1577,1574,1,1,E,1
256,130105197404122556,2278,1556,1556,2,1,E,0
257,130105198602054827,35159,1562,1568,1,2,A,1
258,130105199205141534,18023,1597,404,4,2,F,1
259,130105199906302839,16991,1,1,1,4,C,0
260,130105200507060110,12423,1599,1577,2,4,A,1
261,130105200908052250,31070,1151,129,4,2,F,1
262,130105201011250222,23045,979,1151,4,1,F,2
263,13010719301113063X,8384,1615,2020,2,3,F,1
264,130107193312130975,10430,1638,1634,3,4,A,2
265,130107193401103637,15208,3934,3979,3,1,F,1
266,130107196802171829,7945,2006,34,3,3,E,1
267,130107198611100314,27791,404,1668,1,3,B,1
268,130107199510134237,15980,1597,1563,3,2,F,1
269,130107199511242758,7191,3997,3590,3,1,A,1
270,130107200202154020,2106,1533,1567,1,2,F,2
271,130107200709143507,26916,1681,1750,4,3,F,1
272,130107200811161672,12027,1592,1574,2,4,F,0
273,130107201102112784,34471,76,13,4,1,C,2
274,130107201106164856,13656,1563,1539,2,2,C,1
275,130107201507231095,23597,1597,2069,4,3,B,1
276,130107201603032651,12397,1577,1574,4,3,A,2
277,130108194009174052,19558,457,404,2,3,F,0
278,130108194212300851,8918,2033,3365,3,3,B,1
279,130108194808233039,22375,3057,3016,4,4,F,2
280,130108195208050479,3494,1597,2108,4,2,E,0
281,13010819570210468X,30866,58,2016,4,2,A,1
282,130108197505314927,11381,76,13,4,1,B,0
283,130108197901140383,24741,1597,1597,4,4,F,0
284,130108197908222672,38314,1591,1572,3,2,F,2
285,13010819821223416X,1752,1646,1646,4,2,E,0
286,130108200801194936,3116,1557,1555,1,4,E,1
287,130108201104273318,7080,221,223,2,3,F,2
288,130109194102054537,22324,2986,3057,1,2,F,1
289,130109194811184502,19027,1619,1668,2,2,F,1
290,130109195209223817,35124,3415,3415,1,2,E,2
291,130109195407281620,2424,1597,1555,3,2,E,2
292,130109195712261861,5356,2020,2066,1,3,F,0
293,130109196309063472,39138,925,979,1,3,A,2
294,13010919671027273X,34757,2099,2085,3,2,C,2
295,130109197606274318,20550,634,1597,1,4,B,2
296,130109197702010283,7219,1540,3997,1,1,E,0
297,130109197905313049,7325,3932,3938,2,3,E,1
298,130109198302130707,9074,1615,1552,2,4,F,0
299,130109198509160831,38802,3590,3415,2,2,E,2
300,130109201006233853,12035,1661,1661,2,2,B,1
301,130110193409101036,21219,2069,2035,4,1,E,0
302,130110193601113715,10840,1634,1634,2,1,E,0
303,130110195105102047,14039,1542,1542,3,1,E,0
304,130110195505072473,34603,1667,448,4,4,B,2
305,130110197601090590,24028,1597,552,2,4,C,0
306,130110199009150549,13653,1592,1543,4,2,C,0
307,130110200210130756,31765,1636,1579,4,3,F,2
308,130111196002042273,26391,1684,1668,2,2,C,2
309,130111197204141792,20564,1151,1151,1,1,A,1
310,130111197812140961,2968,1557,1555,3,3,C,1
311,130111197812264833,31251,34,2020,3,1,C,1
312,130111198206051138,27873,447,404,4,3,B,0
313,130111198907154359,17510,1687,447,3,2,B,0
314,130121194508134726,39235,1615,1572,2,2,E,1
315,13012119530707491X,35694,1138,2055,2,4,F,1
316,130121196708232952,15744,1597,1567,3,2,B,2
317,130121197206041181,8099,3365,3365,1,4,B,2
318,130121198509174269,29570,832,129,1,3,E,2
319,130121198910232701,5275,2066,2006,1,4,F,1
320,130121199303224114,32541,1597,1597,3,4,C,0
321,130121199904053410,4469,2034,3362,3,2,F,0
322,13012120010225075X,19501,1763,457,1,2,E,2
323,13012120061022155X,7736,3365,3365,3,1,C,1
324,130121200803212668,16163,1552,1615,2,1,F,2
325,13012120100620183X,33884,76,13,2,1,E,1
326,130123195307172248,35559,599,1717,2,3,C,2
327,130123195610040758,33125,2033,2006,4,4,F,1
328,130123196903163991,761,1607,1605,3,1,B,2
329,130123197511073078,39254,1572,1571,3,3,F,2
330,130123198011261798,35167,2108,3859,3,2,A,1
331,13012319860626287X,15292,1539,3932,3,1,F,2
332,130123198905312312,24876,1597,1597,3,3,E,0
333,130123199804062478,16377,1599,1611,1,2,E,2
334,130125193408124820,8317,1552,1561,1,4,A,2
335,130125194602152707,34812,1615,2055,3,4,A,2
336,130125196711282075,1377,1646,1646,2,2,F,0
337,130125197603052744,11307,1638,1634,2,2,C,0
338,13012520000604031X,23669,2020,34,4,4,F,0
339,13012520050219123X,34008,404,471,4,1,A,1
340,130125201009023130,3658,1577,2020,3,1,B,0
341,130125201309061550,16779,1,1,1,2,C,0
342,130126196008113161,8098,2067,2035,4,4,B,2
343,13012619611224097X,36859,403,1615,4,3,A,0
344,130126197406142878,29349,1169,1146,1,4,C,2
345,130126198002144353,15125,1542,1543,3,2,C,1
346,130126198906244971,12028,1661,1661,4,1,A,0
347,13012719630912037X,12170,1592,1574,1,1,F,1
348,130127196401211282,18774,1750,1668,4,2,B,1
349,130127196403110477,14507,1617,1574,4,1,E,1
350,130127196811271990,11910,1542,1540,2,4,F,0
351,130127199508060107,1746,1593,1654,3,3,F,0
352,13012719990221045X,38103,1572,1571,1,4,E,0
353,130127200303184435,11863,1574,1659,4,1,C,1
354,130127201708144647,3465,1597,56,4,1,F,1
355,130128193103153566,38051,1572,1571,3,1,E,1
356,130128193401010539,25415,59,2007,4,4,A,0
357,130128193407123227,40047,129,129,3,4,F,1
358,130128193605064715,2415,1555,1556,3,2,F,1
359,130128196411092455,5898,2027,2025,4,1,A,1
360,130128199708071595,24272,546,572,1,1,B,0
361,130128200406041628,36131,991,2373,1,3,F,0
362,130128200608010037,40251,1126,979,3,1,A,2
363,130128200704272432,8869,2035,2033,3,3,F,2
364,130128201201293084,27329,1668,404,4,3,F,2
365,130128201209060015,8666,3365,3365,1,3,A,0
366,130129193210293165,33538,2020,65,3,4,C,2
367,130129193908280665,2598,1555,1556,3,2,C,2
368,130129196311020805,30536,1597,457,1,2,C,0
369,130129196606211780,22489,2046,2034,2,3,A,1
370,13012919690201241X,28910,59,2020,3,1,B,2
371,130129198910240024,22081,2091,2087,4,3,F,2
372,130129199505250418,17349,1687,450,2,1,C,2
373,130129200706190090,5365,1615,2033,1,4,E,2
374,130130194310080140,21929,2140,3879,1,1,A,1
375,130130194607053557,18869,404,404,4,2,F,1
376,130130195110244969,3255,1535,1556,3,3,F,1
377,130130197512100078,6456,1574,1577,4,4,E,0
378,130130199803093890,31975,1584,1582,4,4,A,1
379,130130200608090876,12211,1574,1661,1,4,C,0
380,130131194105081941,22190,1146,1151,2,3,F,0
381,130131194306164807,26902,1684,1668,3,4,C,2
382,130131195404031527,24563,1597,34,4,2,E,0
383,130131195611203619,15058,1654,1610,3,4,E,2
384,130131197805254915,25653,471,457,3,1,E,1
385,130131198010283178,22600,838,837,1,4,B,0
386,130131199502174415,24157,1684,1690,2,2,E,0
387,130131200305162576,13165,1617,1661,3,2,C,0
388,130131201411241774,5514,1552,34,1,3,C,1
389,13013219330412212X,3432,1579,1579,2,3,B,2
390,130132193512110131,24712,404,1668,3,2,A,0
391,130132195401041814,21836,3890,3894,2,2,C,1
392,13013219540819037X,14621,1615,1577,3,4,A,2
393,13013219631105128X,2148,1597,1533,1,3,B,0
394,130132197010312073,3968,1540,3997,3,3,F,2
395,13013219891105255X,6373,1563,1568,3,2,F,0
396,130132199407293789,5676,1615,2035,3,3,B,0
397,130132199411284519,5992,1567,2120,2,3,A,0
398,130133193607111387,21983,3057,3036,3,1,C,0
399,130133194301223997,30662,1039,1015,3,3,E,1
400,130133194804034979,33634,13,1,2,1,F,2
401,130133197802151251,21164,1615,2020,3,2,C,0
402,130133198305093219,37915,1749,1683,4,4,E,2
403,130133199612201659,6999,378,440,1,3,E,2
404,130133199701200033,40460,1150,1038,3,3,B,1
405,130133200803183698,5166,58,34,1,3,F,2
406,130133201607260531,38873,1145,1615,2,3,A,2
407,130181194208054587,23118,979,129,2,2,C,0
408,130181194401234977,31938,1615,1582,3,2,B,1
409,130181194607143317,28227,1750,1668,4,1,F,0
410,130181195509212379,29715,979,129,1,1,B,0
411,130181196008051057,35646,1533,3884,3,1,C,1
412,130181199004174555,30541,1668,1763,1,4,C,1
413,130181201204182250,3683,1574,58,2,1,E,2
414,130183193411062556,24007,1035,1015,4,1,F,1
415,130183193507013556,25703,1597,1668,3,4,B,0
416,130183193703181186,13465,1574,1661,4,4,E,1
417,130183196402113212,3633,2020,3868,2,2,F,0
418,130183197011251815,36761,1618,1622,3,4,C,0
419,130183198509240595,29188,129,1151,3,4,F,0
420,130183198810292028,38476,6,18,2,2,B,0
421,130183198812021790,32739,65,76,2,2,B,2
422,130183199803152558,26554,1597,447,3,2,E,2
423,13018320161207135X,10029,1607,1625,1,2,E,1
424,130184193507281047,29361,1039,977,2,4,F,2
425,13018419391204423X,37777,1585,828,1,2,F,2
426,130184194106133988,18017,471,471,3,4,F,0
427,130184194402223347,8256,3389,3389,4,4,E,0
428,130184195204073549,1516,1646,1646,2,4,E,0
429,130184195403244806,16012,1597,1563,1,1,B,1
430,13018419600930473X,9975,1597,1638,4,2,B,1
431,130184198110223909,22872,1597,24,4,1,F,0
432,130184198307183429,33095,76,13,4,4,E,1
433,130184198508123350,21021,3365,3365,3,4,E,0
434,130184198805224836,15001,1574,1543,1,2,E,1
435,130184199007162751,31452,3365,3365,3,4,E,1
436,130184199105041056,28876,1597,2020,1,4,E,2
437,130184199508134214,7961,2006,34,4,3,B,1
438,13018420040229387X,38581,2,2043,3,1,C,2
439,130184201602053736,26717,1681,1597,2,4,A,2
440,130202193611281814,6638,1568,226,2,2,E,0
441,13020219470102455X,2823,1556,1556,3,2,B,1
442,130202196708253207,3047,1555,1556,1,3,C,1
443,130202200402182740,40552,3886,3859,1,3,E,0
444,130202201010050735,20912,1533,2140,3,4,E,0
445,130202201310022322,29034,1597,1597,2,4,E,2
446,13020319440728316X,5707,3365,3365,1,1,C,0
447,130203196104214860,38870,1615,1615,1,3,A,0
448,130203196807031200,4802,2033,3365,3,2,C,0
449,130203197406020732,9151,2020,34,4,1,F,1
450,130203198901023169,21829,3892,3890,3,1,A,1
451,13020320000504448X,15842,1533,1563,2,2,B,0
452,130203201112193397,27298,1597,1597,3,1,F,2
453,130204193605042094,11389,79,13,2,2,C,0
454,130204194902074097,6652,1568,223,1,3,F,2
455,130204199504230982,5881,34,2027,3,1,F,2
456,130204199911093233,12268,1574,1661,4,2,B,2
457,130204200705182820,33916,76,13,3,1,E,2
458,130204201212120933,21141,34,2020,2,3,F,1
459,130205195902090477,3737,3868,3860,4,3,B,2
460,130205196611074332,439,1605,1625,3,3,A,2
461,130205199106233324,9816,1621,1621,3,1,B,0
462,130205200805014732,14378,1651,1577,2,4,B,2
463,130205201709201065,21857,3894,3894,3,4,E,2
464,130207193503143918,25244,59,34,3,3,E,1
465,13020719421208422X,5079,1615,1561,1,3,A,1
466,130207196709150834,27911,1597,1668,1,4,A,1
467,130207197904071730,21220,1561,2020,2,1,B,0
468,130207198505272337,26039,1072,1668,3,2,A,2
469,130207198604162790,30039,1668,546,4,2,F,2
470,130207198901091693,11469,82,13,4,1,F,2
471,130207198907063140,29043,34,1597,4,4,F,1
472,130207201011091696,27437,1597,1597,4,1,A,2
473,130208193409133998,13012,1574,1661,4,2,C,0
474,130208194402241544,19164,1763,447,2,4,C,0
475,13020819520530036X,12105,1599,1592,2,2,C,0
476,130208196410161615,36220,3240,3222,4,3,F,2
477,130208197002253531,266,1611,1607,3,4,E,1
478,130208198111184891,14953,1661,1539,2,4,E,2
479,130208198210140018,19222,457,404,1,2,C,2
480,130208199701184538,33368,65,79,4,4,F,0
481,13020820130812351X,16874,65,13,2,4,A,2
482,130209193806200687,9501,1624,1621,1,3,E,1
483,130209194001022312,14247,1615,1651,1,2,C,0
484,130209195006202878,31603,1590,1584,3,3,B,2
485,130209195410132920,33580,2066,63,3,2,C,1
486,130209196001112720,18782,1750,1684,3,2,F,0
487,130209196202033842,6820,226,221,1,4,E,2
488,130209196307203713,36211,1846,1523,3,4,C,0
489,130224196810030446,5681,34,2035,3,2,A,1
490,130224197009140476,8925,2033,3365,1,2,E,0
491,130224197706013384,15400,1540,3978,4,3,B,2
492,130224198908181997,22026,1566,2091,3,3,C,2
493,130224199509283018,18913,404,404,1,3,B,0
494,130224200810241293,10329,1612,1593,1,3,E,1
495,130225195301113691,11712,13,1,1,4,B,0
496,130225195305110885,29784,1615,1151,3,4,F,1
497,130225195611160776,5606,34,2020,2,2,C,2
498,130225196803090594,15050,1651,1592,3,1,E,1
499,130225199302213211,14551,1651,1617,4,2,C,0
500,130225199403314580,25864,457,404,4,4,A,2
501,130225200604110336,769,1599,1605,4,1,F,0
502,130225201001144611,35292,3032,3016,2,2,A,2
503,130227194008260818,39676,2170,2099,3,1,A,2
504,13022719570211185X,16461,1613,1607,2,1,F,2
505,130227196105010991,29333,1615,1134,1,3,A,1
506,130227196206131979,24166,1597,1684,2,2,F,0
507,13022719671121496X,12860,1615,1574,3,2,E,0
508,130227198304033458,8303,2020,2020,2,3,F,1
509,130227199203143898,37858,1749,1667,1,2,C,0
510,130227200102054955,21628,34,1619,3,4,B,0
511,130227201703123797,11041,1634,1634,2,2,A,0
512,130229193212270376,38307,1615,1640,1,4,E,0
513,130229193711121041,28300,1169,1597,1,2,C,1
514,130229193810022807,40624,129,129,3,3,F,0
515,130229194802102588,32625,1597,1134,4,3,C,2
516,130229194805210197,40238,1034,834,3,2,C,2
517,130229195010130438,4741,2045,2033,1,2,C,2
518,130229195705120930,25562,447,404,3,2,A,2
519,130229198903051917,15507,1592,1574,4,2,C,2
520,130229200311204393,19997,960,2374,1,2,A,0
521,130229200805202638,27912,1668,447,3,1,E,2
522,13022920130121447X,38280,1573,1573,2,4,C,0
523,130229201308281325,4739,1615,59,3,3,F,1
524,13028119471214320X,28336,404,1668,2,1,A,2
525,13028119570618435X,6053,1566,2113,1,2,F,0
526,130281195811241213,27389,404,404,2,4,F,2
527,13028119641029305X,28413,829,979,1,3,B,1
528,130281197601133627,14414,1659,1539,3,2,E,1
529,13028119770822334X,18976,1597,1747,4,3,E,1
530,130281200012153667,29159,1151,1597,3,2,A,0
531,130281200507104840,21907,1597,2112,4,3,C,0
532,130283194103223020,14986,1542,1542,4,2,E,0
533,130283201107274602,16446,1595,1611,1,1,F,1
534,130284193708161872,7400,2020,2020,4,2,F,1
535,130284194909104107,15714,1568,1568,4,4,E,2
536,130284197802202624,8973,3365,3365,1,2,E,2
537,130284198302024360,32556,1646,1615,1,2,C,1
538,130284199311250225,27181,1597,1668,3,1,C,0
539,130284201401161189,8678,34,2035,2,2,E,2
540,130302193109082057,18905,457,402,2,3,E,1
541,130302195306051654,1638,1593,1654,4,1,E,1
542,13030219790305107X,39930,1562,3877,3,4,A,1
543,130302198304080105,29819,1615,1151,4,2,B,0
